date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان,امشي الى الصحراء الغربية,امشي الى الجزائر,امشي الى مالي,امشي الى موريتانيا,امشي الى النيجر,امشي الى تونس,امشي الى المغرب,امشي الى ليبيا,امشي الى السنغال,امشي الى السودان,امشي الى تشاد
2022-03-01,LY,travel,15,0,0,35,0,22.0,70.0,15.0,0.0,42.272727272727266,100.9090909090909,0.0,0.0,32.0,0.0,47.0,0.0,57.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,LY,travel,0,0,0,51,0,0.0,38.0,12.0,0.0,37.33333333333333,125.33333333333333,0.0,0.0,50.0,0.0,25.0,0.0,51.6,21.599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,LY,travel,17,0,0,49,0,0.0,38.0,12.0,0.0,52.0,94.66666666666666,0.0,0.0,47.0,0.0,44.0,0.0,51.6,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,LY,travel,0,0,0,37,0,7.0,61.0,0.0,0.0,41.0,74.0,0.0,0.0,45.0,0.0,52.0,0.0,50.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,LY,travel,0,0,0,52,0,0.0,54.0,43.0,0.0,63.80645161290323,84.61290322580646,0.0,0.0,86.0,0.0,51.0,0.0,66.34285714285714,28.25714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,LY,travel,12,0,0,30,0,0.0,45.0,19.0,0.0,50.214285714285715,88.21428571428572,0.0,0.0,54.0,0.0,47.0,0.0,49.875,22.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,LY,travel,0,0,0,0,0,4.0,45.0,8.0,0.0,64.0,81.33333333333333,0.0,0.0,52.0,0.0,50.0,0.0,53.33333333333333,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,LY,travel,0,0,0,37,0,5.0,32.0,17.0,0.0,59.5,82.16666666666667,0.0,0.0,31.0,0.0,43.0,0.0,71.64285714285714,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,LY,travel,19,0,0,63,0,15.0,36.0,11.0,0.0,42.625,101.75,0.0,0.0,67.0,0.0,42.0,0.0,59.88888888888889,15.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,LY,travel,0,0,0,34,0,0.0,30.0,29.0,0.0,38.666666666666664,74.57142857142857,0.0,0.0,64.0,0.0,36.0,0.0,66.45833333333333,6.041666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,LY,travel,0,0,0,67,0,0.0,47.0,16.0,0.0,42.666666666666664,92.0,0.0,0.0,42.0,0.0,57.0,0.0,60.307692307692314,24.615384615384617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,LY,travel,0,0,0,25,0,5.0,31.0,13.0,0.0,45.5,84.5,0.0,0.0,34.0,0.0,57.0,0.0,44.909090909090914,20.090909090909093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,LY,travel,0,0,0,32,0,0.0,40.0,15.0,0.0,51.81818181818181,99.54545454545453,0.0,0.0,57.0,0.0,46.0,0.0,56.25,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,LY,travel,25,0,0,14,0,7.0,39.0,6.0,0.0,48.0,120.0,0.0,0.0,41.0,0.0,27.0,0.0,46.8,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,LY,travel,0,0,0,55,0,0.0,46.0,25.0,0.0,61.11111111111111,93.05555555555556,0.0,0.0,57.0,0.0,47.0,0.0,73.75,16.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
