date,location,search_count
2023-07-21,central darfur,0.0
2023-07-22,central darfur,100.0
2023-07-23,central darfur,29.0
2023-01-01,east darfur,0.0
2023-01-02,east darfur,0.0
2023-01-03,east darfur,0.0
2023-01-04,east darfur,0.0
2023-01-05,east darfur,0.0
2023-01-06,east darfur,0.0
2023-01-07,east darfur,0.0
2023-01-08,east darfur,0.0
2023-01-09,east darfur,0.0
2023-01-10,east darfur,0.0
2023-01-11,east darfur,0.0
2023-01-12,east darfur,0.0
2023-01-13,east darfur,0.0
2023-01-14,east darfur,0.0
2023-01-15,east darfur,0.0
2023-01-16,east darfur,0.0
2023-01-17,east darfur,0.0
2023-01-18,east darfur,0.0
2023-01-19,east darfur,0.0
2023-01-20,east darfur,0.0
2023-01-21,east darfur,0.0
2023-01-22,east darfur,0.0
2023-01-23,east darfur,0.0
2023-01-24,east darfur,0.0
2023-01-25,east darfur,0.0
2023-01-26,east darfur,0.0
2023-01-27,east darfur,0.0
2023-01-28,east darfur,0.0
2023-01-29,east darfur,0.0
2023-01-30,east darfur,0.0
2023-01-31,east darfur,0.0
2023-02-01,east darfur,0.0
2023-02-02,east darfur,0.0
2023-02-03,east darfur,0.0
2023-02-04,east darfur,0.0
2023-02-05,east darfur,0.0
2023-02-06,east darfur,0.0
2023-02-07,east darfur,0.0
2023-02-08,east darfur,0.0
2023-02-09,east darfur,0.0
2023-02-10,east darfur,0.0
2023-02-11,east darfur,0.0
2023-02-12,east darfur,0.0
2023-02-13,east darfur,0.0
2023-02-14,east darfur,0.0
2023-02-15,east darfur,0.0
2023-02-16,east darfur,0.0
2023-02-17,east darfur,0.0
2023-02-18,east darfur,0.0
2023-02-19,east darfur,0.0
2023-02-20,east darfur,0.0
2023-02-21,east darfur,0.0
2023-02-22,east darfur,0.0
2023-02-23,east darfur,0.0
2023-02-24,east darfur,0.0
2023-02-25,east darfur,0.0
2023-02-26,east darfur,0.0
2023-02-27,east darfur,0.0
2023-02-28,east darfur,0.0
2023-03-01,east darfur,0.0
2023-03-02,east darfur,0.0
2023-03-03,east darfur,0.0
2023-03-04,east darfur,0.0
2023-03-05,east darfur,0.0
2023-03-06,east darfur,0.0
2023-03-07,east darfur,0.0
2023-03-08,east darfur,0.0
2023-03-09,east darfur,0.0
2023-03-10,east darfur,0.0
2023-03-11,east darfur,0.0
2023-03-12,east darfur,0.0
2023-03-13,east darfur,0.0
2023-03-14,east darfur,0.0
2023-03-15,east darfur,0.0
2023-03-16,east darfur,0.0
2023-03-17,east darfur,0.0
2023-03-18,east darfur,0.0
2023-03-19,east darfur,0.0
2023-03-20,east darfur,0.0
2023-03-21,east darfur,0.0
2023-03-22,east darfur,0.0
2023-03-23,east darfur,0.0
2023-03-24,east darfur,0.0
2023-03-25,east darfur,0.0
2023-03-26,east darfur,0.0
2023-03-27,east darfur,0.0
2023-03-28,east darfur,0.0
2023-03-29,east darfur,0.0
2023-03-30,east darfur,0.0
2023-03-31,east darfur,0.0
2023-04-01,east darfur,0.0
2023-04-02,east darfur,0.0
2023-04-03,east darfur,0.0
2023-04-04,east darfur,0.0
2023-04-05,east darfur,0.0
2023-04-06,east darfur,0.0
2023-04-07,east darfur,0.0
2023-04-08,east darfur,0.0
2023-04-09,east darfur,0.0
2023-04-10,east darfur,0.0
2023-04-11,east darfur,0.0
2023-04-12,east darfur,0.0
2023-04-13,east darfur,0.0
2023-04-14,east darfur,0.0
2023-04-15,east darfur,0.0
2023-04-16,east darfur,0.0
2023-04-17,east darfur,0.0
2023-04-18,east darfur,0.0
2023-04-19,east darfur,0.0
2023-04-20,east darfur,0.0
2023-04-21,east darfur,0.0
2023-04-22,east darfur,0.0
2023-04-23,east darfur,0.0
