date,location,arriving_IDP,leaving_IDP,fatalities,event_count
2023-05-21,north kordofan,27565.0,2709.0,0.0,0.0
2023-05-21,northern,188055.0,0.0,0.0,0.0
2023-05-21,red sea,22817.0,0.0,0.0,0.0
2023-05-21,river nile,186115.0,0.0,0.0,0.0
2023-05-21,sennar,120725.0,0.0,0.0,0.0
2023-05-21,south darfur,89820.0,96910.0,0.0,0.0
2023-05-21,south kordofan,9179.0,0.0,0.0,0.0
2023-05-21,west darfur,273220.0,277020.0,0.0,0.0
2023-05-21,west kordofan,686.0,0.0,0.0,0.0
2023-05-21,white nile,211164.0,0.0,0.0,0.0
2023-05-22,aj jazirah,77485.0,0.0,0.0,0.0
2023-05-22,blue nile,4145.0,0.0,0.0,0.0
2023-05-22,central darfur,90280.0,90280.0,0.0,0.0
2023-05-22,east darfur,7000.0,0.0,0.0,0.0
2023-05-22,gedaref,42240.0,0.0,0.0,0.0
2023-05-22,kassala,29170.0,0.0,0.0,0.0
2023-05-22,khartoum,19585.0,937282.0,0.0,1.0
2023-05-22,north darfur,29300.0,24350.0,0.0,0.0
2023-05-22,north kordofan,27565.0,2709.0,0.0,0.0
2023-05-22,northern,188055.0,0.0,0.0,0.0
2023-05-22,red sea,22817.0,0.0,0.0,0.0
2023-05-22,river nile,186115.0,0.0,0.0,0.0
2023-05-22,sennar,120725.0,0.0,0.0,0.0
2023-05-22,south darfur,89820.0,96910.0,0.0,0.0
2023-05-22,south kordofan,9179.0,0.0,0.0,0.0
2023-05-22,west darfur,273220.0,277020.0,0.0,0.0
2023-05-22,west kordofan,686.0,0.0,0.0,0.0
2023-05-22,white nile,211164.0,0.0,0.0,0.0
2023-05-23,aj jazirah,77485.0,0.0,0.0,0.0
2023-05-23,blue nile,4145.0,0.0,0.0,0.0
2023-05-23,central darfur,90280.0,90280.0,0.0,0.0
2023-05-23,east darfur,7000.0,0.0,0.0,0.0
2023-05-23,gedaref,42240.0,0.0,0.0,0.0
2023-05-23,kassala,29170.0,0.0,0.0,0.0
2023-05-23,khartoum,19585.0,937282.0,0.0,0.0
2023-05-23,north darfur,29300.0,24350.0,0.0,0.0
2023-05-23,north kordofan,27565.0,2709.0,0.0,0.0
2023-05-23,northern,188055.0,0.0,0.0,0.0
2023-05-23,red sea,22817.0,0.0,0.0,0.0
2023-05-23,river nile,186115.0,0.0,0.0,0.0
2023-05-23,sennar,120725.0,0.0,0.0,0.0
2023-05-23,south darfur,89820.0,96910.0,0.0,0.0
2023-05-23,south kordofan,9179.0,0.0,0.0,0.0
2023-05-23,west darfur,273220.0,277020.0,0.0,0.0
