location,Y,X(s),covariate num.,r^2,offset
red sea,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,-2.220446049250313e-16,-1
red sea,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-1
red sea,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,-2.220446049250313e-16,0
red sea,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,0
red sea,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,1
red sea,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,1
red sea,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,2
red sea,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,2
red sea,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,3
red sea,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,3
river nile,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.13479528403850183,-4
river nile,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-4
river nile,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.15965483321866414,-3
river nile,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-3
river nile,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,2.9222441717546843e-05,-2
river nile,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-2
river nile,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.018750795018255717,-1
river nile,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-1
river nile,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.018750795018255717,0
river nile,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,0
river nile,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,2.9222441717546843e-05,1
river nile,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,1
river nile,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.15965483321866414,2
river nile,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,2
river nile,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.13479528403850183,3
river nile,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,3
sennar,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.1412795012376492,-4
sennar,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-4
sennar,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.3240261823122721,-3
sennar,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-3
sennar,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.04888500889182279,-2
sennar,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-2
sennar,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.04443623441003819,-1
sennar,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-1
sennar,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.04443623441003819,0
sennar,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,0
sennar,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.04888500889182279,1
sennar,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,1
sennar,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.3240261823122721,2
sennar,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,2
