date,ISO,topic,search_count
2023-02-11,Northern,safe_places,1.4285714285714286
2023-02-12,Northern,safe_places,1.6428571428571428
2023-02-13,Northern,safe_places,3.5
2023-02-14,Northern,safe_places,2.2142857142857144
2023-02-15,Northern,safe_places,0.0
2023-02-16,Northern,safe_places,1.6428571428571428
2023-02-17,Northern,safe_places,0.0
2023-02-18,Northern,safe_places,0.0
2023-02-19,Northern,safe_places,0.0
2023-02-20,Northern,safe_places,1.2142857142857142
2023-02-21,Northern,safe_places,0.0
2023-02-22,Northern,safe_places,1.7857142857142858
2023-02-23,Northern,safe_places,0.0
2023-02-24,Northern,safe_places,0.0
2023-02-25,Northern,safe_places,1.6428571428571428
2023-02-26,Northern,safe_places,4.428571428571429
2023-02-27,Northern,safe_places,2.7857142857142856
2023-02-28,Northern,safe_places,0.0
2023-03-01,Northern,safe_places,0.0
2023-03-02,Northern,safe_places,0.0
2023-03-03,Northern,safe_places,0.0
2023-03-04,Northern,safe_places,2.357142857142857
2023-03-05,Northern,safe_places,2.5714285714285716
2023-03-06,Northern,safe_places,1.2142857142857142
2023-03-07,Northern,safe_places,1.7142857142857142
2023-03-08,Northern,safe_places,1.4285714285714286
2023-03-09,Northern,safe_places,0.0
2023-03-10,Northern,safe_places,0.0
2023-03-11,Northern,safe_places,0.0
2023-03-12,Northern,safe_places,0.0
2023-03-13,Northern,safe_places,0.0
2023-03-14,Northern,safe_places,1.8571428571428572
2023-03-15,Northern,safe_places,0.0
2023-03-16,Northern,safe_places,0.0
2023-03-17,Northern,safe_places,2.642857142857143
2023-03-18,Northern,safe_places,1.5714285714285714
2023-03-19,Northern,safe_places,2.4285714285714284
2023-03-20,Northern,safe_places,4.142857142857143
2023-03-21,Northern,safe_places,0.0
2023-03-22,Northern,safe_places,0.0
2023-03-23,Northern,safe_places,0.0
2023-03-24,Northern,safe_places,8.928571428571429
2023-03-25,Northern,safe_places,1.9285714285714286
2023-03-26,Northern,safe_places,0.0
2023-03-27,Northern,safe_places,5.357142857142857
2023-03-28,Northern,safe_places,3.5714285714285716
2023-03-29,Northern,safe_places,1.7142857142857142
2023-03-30,Northern,safe_places,2.9285714285714284
2023-03-31,Northern,safe_places,0.0
2023-04-01,Northern,safe_places,3.2857142857142856
2023-04-02,Northern,safe_places,0.0
2023-04-03,Northern,safe_places,3.642857142857143
2023-04-04,Northern,safe_places,1.8571428571428572
2023-04-05,Northern,safe_places,0.0
2023-04-06,Northern,safe_places,3.4285714285714284
2023-04-07,Northern,safe_places,0.0
