date,country,topic,caminar a Brasil,caminar a Perú,caminar a Panamá,caminar a Venezuela,caminar a Ecuador,billete de avión a Brasil,billete de avión a Perú,billete de avión a Panamá,billete de avión a Venezuela,billete de avión a Ecuador,aeropuerto cerca de mi,bote a Brasil,bote a Perú,bote a Panamá,bote a Venezuela,bote a Ecuador,tren a Brasil,tren a Perú,tren a Panamá,tren a Venezuela,tren a Ecuador,estación,aplicar,equipaje,hotel en Brasil,hotel en Perú,hotel en Panamá,hotel en Venezuela,hotel en Ecuador,albergue en Brasil,albergue en Perú,albergue en Panamá,albergue en Venezuela,albergue en Ecuador,tráfico,boleto a,motel en Brasil,motel en Perú,motel en Panamá,motel en Venezuela,motel en Ecuador,conduciendo,tarifa aérea,carreteras,camión,Airbnb,como caminar a,pasaje aérea,precio de billete de avión
2021-11-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,92.0,19.0,0.0,0.0,0.0,0.0,0.2753623188405797,0.0,0.0,0.0,0.0,0.0,77.0,26.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,43.0,45.0,288.0,4.5,0.0,0.0
2021-12-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,82.0,21.0,0.0,0.0,0.0,0.5526315789473685,0.8289473684210527,0.0,0.0,0.0,0.0,0.0,50.0,26.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,36.0,41.0,340.0,5.0,0.0,0.0
2022-01-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,95.0,23.0,0.0,0.0,0.2839506172839506,0.2839506172839506,0.2839506172839506,0.0,0.0,0.0,0.0,0.0,55.0,42.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,40.0,46.0,456.5,5.5,0.0,0.0
2022-02-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,88.0,17.0,0.0,0.0,0.0,0.2786885245901639,0.2786885245901639,0.0,0.0,0.0,0.0,0.0,66.0,28.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,40.0,49.0,295.0,5.0,0.0,0.0
2022-03-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,96.0,19.0,0.0,0.0,0.0,0.2753623188405797,0.5507246376811594,0.0,0.0,0.0,0.0,0.0,100.0,25.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,48.0,57.0,248.0,4.0,0.0,0.0
2022-04-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,98.0,20.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,95.0,28.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,55.0,60.0,335.0,5.0,0.0,0.0
2022-05-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,85.0,17.0,0.0,0.0,0.0,0.0,0.2698412698412698,0.0,0.0,0.0,0.0,0.0,96.0,29.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,54.0,55.0,248.0,4.0,0.0,0.0
2022-06-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,83.0,22.0,0.0,0.0,0.0,0.275,0.275,0.0,0.0,0.0,0.0,0.0,72.0,28.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,47.0,55.0,462.0,7.0,0.0,0.0
2022-07-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,88.0,21.0,0.0,0.0,0.0,0.27631578947368424,0.0,0.0,0.0,0.0,0.0,0.0,66.0,32.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,42.0,58.0,319.5,9.0,0.0,0.0
2022-08-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,100.0,19.0,0.0,0.0,0.0,0.2714285714285714,0.2714285714285714,0.0,0.0,0.0,0.0,0.0,81.0,27.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,47.0,54.0,288.0,4.5,0.0,0.0
