,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DTM - SUDAN - SITUATION REPORT (5) DATASET,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATES,,STATUS,DISPLACEMENT,,,,,,,,,ORIGIN,,,NATIONALITY (by IDPs individuals),,,SHELTER CATEGORY (by Households),,,,,,,,TOP PRIORITY NEED,RETURN INTENTION
INCIDENT,DATA COLLECTION,(Drop-down List) 1.new location 2.updated with new information 3.updated with same information,"STATE OF DISPLACEMENT
 (Drop-down List)",STATE_CODE,Locality_Code,"LOCALITY OF DISPLACEMENT
 (Drop-down List)",LOCATION OF DISPALCEMENT,Location type (Drop-down List),Location Classification (Drop-down List),IDPs,HHs,"STATE ORIGIN
 (Drop-down List)","LOCALITY ORIGIN
 (Drop-down List)",LOCATION OF ORIGIN,SUDANESE,NON SUDANESE,TOTAL (=IDPs),Camp (formal),In Host Family/Community accommodation,In Rented accomodation (paying rent),In Abandoned buildings/critical shelters/no rent,In schools or other public buildings/no rent,Gathering sites (informal settlements or open area),Unknown,Total (=HHs),(Drop-down List) Emergency shelter/Food/ Non-Food Items/ Health/Nutrition/ WASH,"(Drop-down List) 1. Remain in Same Place, 2. Move to Another Location 3. Return to Location of Origin 4. Unkown"
,,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm2+origin+name,,,,,,,,,,,,,,
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,Almanaseer,Urban,neighbourhood,45,9,Khartoum,Bahri,Bahri Neighbourhoods,45,-,45,-,9,-,-,-,-,-,9,Food,1-Remain in same place
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,Almanaseer,Urban,neighbourhood,50,10,Khartoum,Um Durman,Um Durman neighbourhoods,50,-,50,-,10,-,-,-,-,-,10,Food,1-Remain in same place
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,Almuosalamiya,Urban,neighbourhood,64,13,Khartoum,Jebel Awlia,,64,-,64,-,13,-,-,-,-,-,13,Food,1-Remain in same place
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,Almuosalamiya,Urban,neighbourhood,250,50,Khartoum,Jebel Awlia,,250,-,250,-,50,-,-,-,-,-,50,Food,1-Remain in same place
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,Almuosalamiya,Urban,neighbourhood,50,12,Khartoum,Khartoum,,50,-,50,-,12,-,-,-,-,-,12,Food,1-Remain in same place
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,Almuosalamiya,Urban,neighbourhood,150,30,Khartoum,Khartoum,,150,-,150,-,30,-,-,-,-,-,30,Food,1-Remain in same place
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,Almuosalamiya,Urban,neighbourhood,75,15,Khartoum,Sharg An Neel,Sharg An Neel nighbourhoods and villages,75,-,75,-,15,-,-,-,-,-,15,Food,1-Remain in same place
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,Almuosalamiya,Urban,neighbourhood,85,17,Khartoum,Um Bada,Um Bada neighbourhoods and villages,85,-,85,-,17,-,-,-,-,-,17,Food,1-Remain in same place
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,Almuosalamiya,Urban,neighbourhood,200,40,Khartoum,Um Durman,Um Durman neighbourhoods,200,-,200,-,40,-,-,-,-,-,40,Food,1-Remain in same place
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,Altaimab,Rural,Village,200,40,Khartoum,Jebel Awlia,Jebel Awlia neighbourhoods and villages,200,-,200,-,40,-,-,-,-,-,40,Food,1-Remain in same place
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,Altaimab,Rural,Village,150,30,Khartoum,Khartoum,Khartoum neighbourhoods,150,-,150,-,30,-,-,-,-,-,30,Food,1-Remain in same place
15/04/2023,19/05/2023,2. updated with new information,Gazera,SD15,SD15034,Al Hasahisa,Altaimab,Urban,neighbourhood,350,70,Khartoum,Um Durman,,350,-,350,-,70,-,-,-,-,-,70,Food,1-Remain in same place
