Date,STATE OF AFFECTED POPULATION,STATE PCODE OF AFFECTED POPULATION,LOCALITY OF AFFECTED POPULATION,LOCALITY PCODE OF AFFECTED POPULATION,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,# IDP INDIVIDUALS,STATE OF ORIGIN,STATE PCODE OF ORIGIN,LOCALITY OF ORIGIN,LOCALITY PCODE OF ORIGIN
4/28/2023,Aj Jazirah,SD15,Sharg Al Jazirah,SD15033,,,,100,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Janub Al Jazirah,SD15031,,,,110,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Janub Al Jazirah,SD15031,,,,85,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Janub Al Jazirah,SD15031,,,,350,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Janub Al Jazirah,SD15031,,,,140,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Janub Al Jazirah,SD15031,,,,70,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Janub Al Jazirah,SD15031,,,,25,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Janub Al Jazirah,SD15031,,,,190,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Janub Al Jazirah,SD15031,,,,115,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Janub Al Jazirah,SD15031,,,,95,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Janub Al Jazirah,SD15031,,,,235,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Janub Al Jazirah,SD15031,,,,215,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Janub Al Jazirah,SD15031,,,,175,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Janub Al Jazirah,SD15031,,,,135,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Janub Al Jazirah,SD15031,,,,60,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Janub Al Jazirah,SD15031,,,,60,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Janub Al Jazirah,SD15031,,,,70,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Aj Jazirah,SD15,Janub Al Jazirah,SD15031,,,,80,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Northern,N/A,,,,29200,Khartoum,SD01,Khartoum,SD01007
4/28/2023,Northern,SD17,Merwoe,SD17020,,,,0,Northern,SD17,Merowe,SD17020
4/28/2023,Northern,SD17,Merwoe,SD17020,,,,0,Northern,SD17,Merowe,SD17020
4/28/2023,Northern,SD17,Merwoe,SD17020,,,,0,Northern,SD17,Merowe,SD17020
4/28/2023,Northern,SD17,Merwoe,SD17020,,,,0,Northern,SD17,Merowe,SD17020
4/28/2023,Northern,SD17,Merwoe,SD17020,,,,0,Northern,SD17,Merowe,SD17020
4/28/2023,Northern,SD17,Merwoe,SD17020,,,,0,Northern,SD17,Merowe,SD17020
4/28/2023,Northern,SD17,Merwoe,SD17020,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Merwoe,SD17020,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Merwoe,SD17020,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Merwoe,SD17020,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Merwoe,SD17020,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Merwoe,SD17020,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Merwoe,SD17020,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Merwoe,SD17020,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Merwoe,SD17020,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Merwoe,SD17020,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Merwoe,SD17020,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Merwoe,SD17020,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Merwoe,SD17020,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Merwoe,SD17020,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Merwoe,SD17020,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Merwoe,SD17020,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Dongola,SD17017,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Al Burgaig,SD17016,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Al Burgaig,SD17016,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Ad Dabbah,SD17019,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Ad Dabbah,SD17019,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Ad Dabbah,SD17019,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Ad Dabbah,SD17019,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Ad Dabbah,SD17019,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Ad Dabbah,SD17019,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Ad Dabbah,SD17019,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
4/28/2023,Northern,SD17,Ad Dabbah,SD17019,,,,0,Khartoum,SD01,"Jabal Awlia, Bahri,Omdorman/ Khartoum","SD01001, SD01003, SD01006, SD01007"
