,,,,,,,,,,,,PLACE OF ORIGIN,,,,,,,,,,,,,,,,,,
INCIDENT,DATA COLLECTION,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,AREA NOT UNDER THE CONTROL OF THE GOVERNMENT,LOCATION TYPE,LOCATION CLASSIFICATION,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),SHELTER CATEGORY: Camp,SHELTER CATEGORY: WITH HOST COMMUNITY,SHELTER CATEGORY: IN RENTED ACCOMODATION (PAYING RENT),SHELTER CATEGORY: IN ABANDONED BUILDINGS/CRITICAL SHELTERS/NO RENT,SHELTER CATEGORY: IN SCHOOLS OR OTHER PUBLIC BUILDINGS/NO RENT,SHELTER CATEGORY: GATHERING SITES (INFORMAL SETTLEMENTS OR OPEN AREA),SHELTER CATEGORY: UNKNOWN,TOTAL,PRIORITY NEED,RETURN INTENTIONS
,#date+survey,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,
15/04/2023,21/06/2023,Updated with new information,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,No,Urban,Neighbourhood,"31,400","6,280",South Darfur,SD03,SD03167,Nyala Janoub,"Hai Aljer, Hai Alwadi, Hai Aljamhowria, Hai As Serief","31,400",0,31400,0,6130,0,0,150,0,0,6280,Non-Food Items,Return to location of origin
15/04/2023,21/06/2023,Updated with same information,South Darfur,SD03,SD03167,Nyala Janoub,Otash IDP Camp,No,Urban,Camp,"7,665","1,533",South Darfur,SD03,SD03167,Nyala Janoub,"Hai Al Sika Haded, Al Kongo, Hai Alasial (Nyala Town)","7,665",0,7665,1533,0,0,0,0,0,0,1533,Non-Food Items,Return to location of origin
15/04/2023,21/06/2023,Updated with same information,South Darfur,SD03,SD03162,Beliel,Al Serief Village,No,Rural,Village,"12,500","2,500",South Darfur,SD03,SD03167,Nyala Janoub,"Hai Al Sika Haded, Al Kongo, Hai Alasial (Nyala Town)","12,500",0,12500,0,2500,0,0,0,0,0,2500,Non-Food Items,Return to location of origin
15/04/2023,21/06/2023,Updated with same information,South Darfur,SD03,SD03162,Beliel,Al Salam Village,No,Rural,Village,"7,500","1,500",South Darfur,SD03,SD03167,Nyala Janoub,"Hai Al Sika Haded, Al Kongo, Hai Alasial (Nyala Town)","7,500",0,7500,0,1500,0,0,0,0,0,1500,Non-Food Items,Move to another location
15/04/2023,21/06/2023,Updated with same information,South Darfur,SD03,SD03162,Beliel,Kalma IDP Camp,No,Urban,Camp,"35,000","7,000",South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"35,000",0,35000,7000,0,0,0,0,0,0,7000,Non-Food Items,Move to another location
15/04/2023,21/06/2023,Updated with same information,South Darfur,SD03,SD03145,Mershing,Mershing Town,No,Urban,Neighbourhood,"5,000","1,000",South Darfur,SD03,SD03145,Mershing,Keila Area,"5,000",0,5000,0,1000,0,0,0,0,0,1000,Food,Remain in same place
15/04/2023,21/06/2023,Updated with same information,South Darfur,SD03,SD03147,Sharg Aj Jabal,Kyora Village,No,Rural,Village,320,64,South Darfur,SD03,SD03145,Mershing,Mershing Town,320,0,320,0,64,0,0,0,0,0,64,Food,Remain in same place
15/04/2023,21/06/2023,Updated with same information,South Darfur,SD03,SD03144,Kas,Kas Town,No,Urban,Neighbourhood,"5,000","1,000",South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"5,000",0,5000,0,1000,0,0,0,0,0,1000,Food,Remain in same place
15/04/2023,21/06/2023,Updated with same information,South Darfur,SD03,SD03162,Beliel,Beliel Town,No,Urban,Neighbourhood,"7,000","1,400",South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"7,000",0,7000,0,1400,0,0,0,0,0,1400,Food,Remain in same place
15/04/2023,21/06/2023,Updated with same information,South Darfur,SD03,SD03161,Buram,Buram Town,No,Urban,Neighbourhood,"4,000",800,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"4,000",0,4000,0,800,0,0,0,0,0,800,Food,Remain in same place
15/04/2023,21/06/2023,Updated with same information,South Darfur,SD03,SD03156,As Sunta,As Sunta Town,No,Urban,Neighbourhood,"3,000",600,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"3,000",0,3000,0,600,0,0,0,0,0,600,Food,Remain in same place
15/04/2023,21/06/2023,Updated with same information,South Darfur,SD03,SD03158,Rehaid Albirdi,Rehaid Albardi Town,No,Urban,Neighbourhood,"3,000",600,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"3,000",0,3000,0,200,0,0,400,0,0,600,Food,Remain in same place
15/04/2023,21/06/2023,Updated with same information,Central Darfur,SD06,SD06135,Um Dukhun,Abujaradil,No,Rural,Village,"1,000",200,Central Darfur,SD06,SD06135,Um Dukhun,Um Dukhun,"1,000",0,1000,0,200,0,0,0,0,0,200,Food,Remain in same place
15/04/2023,21/06/2023,Updated with same information,Central Darfur,SD06,SD06135,Um Dukhun,Towal,No,Rural,Village,"1,000",200,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"1,000",0,1000,0,200,0,0,0,0,0,200,Food,Remain in same place
15/04/2023,21/06/2023,Updated with same information,Central Darfur,SD06,SD06135,Um Dukhun,Mindi,No,Rural,Village,500,100,Central Darfur,SD06,SD06138,Zalingi,Zalingi Town,500,0,500,0,100,0,0,0,0,0,100,Food,Remain in same place
15/04/2023,21/06/2023,Updated with same information,Central Darfur,SD06,SD06135,Um Dukhun,Brangu,No,Rural,Village,650,130,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,650,0,650,0,130,0,0,0,0,0,130,Food,Remain in same place
15/04/2023,21/06/2023,Updated with same information,Central Darfur,SD06,SD06135,Um Dukhun,Srino,No,Rural,Village,500,100,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,500,0,500,0,100,0,0,0,0,0,100,Food,Remain in same place
15/04/2023,21/06/2023,Updated with same information,South Darfur,SD03,SD03150,Al Wihda,Al -Malam,No,Urban,Neighbourhood,"7,000","1,400",South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"7,000",0,7000,0,1400,0,0,0,0,0,1400,Non-Food Items,Remain in same place
15/04/2023,21/06/2023,Updated with same information,South Darfur,SD03,SD03166,As Salam - SD,Nitiga,No,Rural,Village,"3,000",600,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"3,000",0,3000,0,600,0,0,0,0,0,600,Non-Food Items,Remain in same place
15/04/2023,21/06/2023,Updated with same information,South Darfur,SD03,SD03166,As Salam - SD,Abu Agura,No,Rural,Village,"2,500",500,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,"2,500",0,2500,0,500,0,0,0,0,0,500,Non-Food Items,Remain in same place
