INCIDENT,DATA COLLECTION,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),SHELTER CATEGORY: Camp,SHELTER CATEGORY: WITH HOST COMMUNITY,SHELTER CATEGORY: IN RENTED ACCOMODATION,SHELTER CATEGORY: IN IMPROVISED SHELTERS,SHELTER CATEGORY: IN SCHOOLS OR OTHER PUBLIC BUILDINGS,SHELTER CATEGORY: OPEN AREA GATHERING SITES,SHELTER CATEGORY: UNKNOWN,TOTAL,PRIORITY NEED,RETURN INTENTIONS
,#date+survey,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13026,Bara,Hai Banat Shimal,Urban,Neighbourhood,270,45,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,270,0,270,0,45,0,0,0,0,0,45,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13026,Bara,Hai Banat Ganob,Urban,Neighbourhood,55,11,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,55,0,55,0,11,0,0,0,0,0,11,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13026,Bara,Al Hai Alawsat,Urban,Neighbourhood,47,9,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,47,0,47,0,9,0,0,0,0,0,9,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13026,Bara,Hai Alsog,Urban,Neighbourhood,175,30,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,175,0,175,0,30,0,0,0,0,0,30,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13026,Bara,Um Siala,Rural,Village,99,19,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,99,0,99,0,19,0,0,0,0,0,19,Food,Move to another location
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13027,Gebrat Al Sheikh,Al Ganoby,Urban,Neighbourhood,224,51,Khartoum,SD01,SD01002,Um Bada,Um Bada neighbourhoods,224,0,224,0,51,0,0,0,0,0,51,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13027,Gebrat Al Sheikh,Al Shargy,Urban,Neighbourhood,226,53,Khartoum,SD01,SD01002,Um Bada,Um Bada neighbourhoods,226,0,226,0,53,0,0,0,0,0,53,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13027,Gebrat Al Sheikh,Hi Algarbi,Urban,Neighbourhood,277,62,Khartoum,SD01,SD01002,Um Bada,Um Bada neighbourhoods,277,0,277,0,62,0,0,0,0,0,62,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13027,Gebrat Al Sheikh,Al Bashma,Urban,Neighbourhood,0,0,Khartoum,SD01,SD01005,Karrari,Karrari,0,0,0,0,0,0,0,0,0,0,0,NA,NA
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13027,Gebrat Al Sheikh,Al Endraba,Urban,Neighbourhood,206,45,Khartoum,SD01,SD01002,Um Bada,Um Bada neighbourhoods,206,0,206,0,45,0,0,0,0,0,45,Food,Move to another location
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13027,Gebrat Al Sheikh,Al Faria,Urban,Neighbourhood,212,47,Khartoum,SD01,SD01002,Um Bada,Um Bada neighbourhoods,212,0,212,0,45,0,0,2,0,0,47,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13027,Gebrat Al Sheikh,Hi Al Soag,Urban,Neighbourhood,193,44,Khartoum,SD01,SD01002,Um Bada,Um Bada neighbourhoods,193,0,193,0,44,0,0,0,0,0,44,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13029,Gharb Bara,Hai Albarka,Urban,Neighbourhood,184,28,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,184,0,184,0,28,0,0,0,0,0,28,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13029,Gharb Bara,Al Awsat,Urban,Neighbourhood,74,11,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,74,0,74,0,11,0,0,0,0,0,11,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13029,Gharb Bara,Hai Alshaik,Urban,Neighbourhood,37,7,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,37,0,37,0,7,0,0,0,0,0,7,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13029,Gharb Bara,Hai Abu Aloan,Urban,Neighbourhood,53,6,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,53,0,53,0,6,0,0,0,0,0,6,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13029,Gharb Bara,Um Kraidm,Urban,Neighbourhood,6,1,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,6,0,6,0,1,0,0,0,0,0,1,Food,Return to location of origin
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13029,Gharb Bara,Alsata,Rural,Village,260,52,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,260,0,260,0,52,0,0,0,0,0,52,Food,Return to location of origin
