,,,,,,,,,,,,PLACE OF ORIGIN,,,,,NATIONALITIES,,,SHELTER CATEGORY,,,,,,,,TOP PRIORITY NEED,RETURN INTENTIONS
INCIDENT,DATA COLLECTION,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),SHELTER CATEGORY: Camp,SHELTER CATEGORY: WITH HOST COMMUNITY,SHELTER CATEGORY: IN RENTED ACCOMODATION (PAYING RENT),SHELTER CATEGORY: IN ABANDONED BUILDINGS/Improvised Shelters/NO RENT,SHELTER CATEGORY: IN SCHOOLS OR OTHER PUBLIC BUILDINGS/NO RENT,SHELTER CATEGORY: GATHERING SITES (INFORMAL SETTLEMENTS OR OPEN AREA),SHELTER CATEGORY: UNKNOWN,TOTAL,,
,#date+survey,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,
15/04/2023,14/06/2023,Updated with same information,South Darfur,SD03,SD03144,Kas,Kas Town,Urban,Neighbourhood,5000,1000,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,5000,0,5000,0,1000,0,0,0,0,0,1000,Food,Remain in same place
15/04/2023,14/06/2023,Updated with same information,South Darfur,SD03,SD03145,Mershing,Mershing Town,Urban,Neighbourhood,5000,1000,South Darfur,SD03,SD03145,Mershing,Keila Area,5000,0,5000,0,1000,0,0,0,0,0,1000,Food,Remain in same place
15/04/2023,14/06/2023,Updated with same information,South Darfur,SD03,SD03147,Sharg Aj Jabal,Kyora Village,Rural,Village,320,64,South Darfur,SD03,SD03145,Mershing,,320,0,320,0,64,0,0,0,0,0,64,Food,Remain in same place
15/04/2023,14/06/2023,Updated with same information,South Darfur,SD03,SD03150,Al Wihda,Al -Malam,Urban,Neighbourhood,7000,1400,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,7000,0,7000,0,1400,0,0,0,0,0,1400,Food,Remain in same place
15/04/2023,14/06/2023,Updated with same information,South Darfur,SD03,SD03156,As Sunta,As Sunta Town,Urban,Neighbourhood,3000,600,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,3000,0,3000,0,600,0,0,0,0,0,600,Food,Remain in same place
15/04/2023,14/06/2023,Updated with new information,South Darfur,SD03,SD03158,Rehaid Albirdi,Rehaid Albardi Town,Urban,Neighbourhood,3000,600,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,3000,0,3000,0,200,0,0,400,0,0,600,Food,Remain in same place
15/04/2023,14/06/2023,Updated with same information,South Darfur,SD03,SD03161,Buram,Buram Town,Urban,Neighbourhood,4000,800,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,4000,0,4000,0,800,0,0,0,0,0,800,Food,Remain in same place
15/04/2023,14/06/2023,New Location,South Darfur,SD03,SD03162,Beliel,Al Serief,Urban,Camp,12500,2500,South Darfur,SD03,SD03167,Nyala Janoub,"Hai Al Sika Haded, Al Kongo, Hai Alasial (Nyala Town)",12500,0,12500,2500,0,0,0,0,0,0,2500,Food,Return to location of origin
15/04/2023,14/06/2023,New Location,South Darfur,SD03,SD03162,Beliel,Al Salam,Urban,Camp,7500,1500,South Darfur,SD03,SD03167,Nyala Janoub,"Hai Al Sika Haded, Al Kongo, Hai Alasial (Nyala Town)",7500,0,7500,1500,0,0,0,0,0,0,1500,Food,Move to another location
15/04/2023,14/06/2023,New Location,South Darfur,SD03,SD03162,Beliel,Kalma,Urban,Camp,35000,7000,South Darfur,SD03,SD03167,Nyala Janoub,Nyala Town,35000,0,35000,7000,0,0,0,0,0,0,7000,Food,Move to another location
