param_algorithm,param_n_neighbors,param_p,params,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,split4_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,emotion
brute,14,1,"{'algorithm': 'brute', 'n_neighbors': 14, 'p': 1}",0.6373626373626373,0.5539568345323741,0.7619047619047619,0.5813953488372093,0.5902255639097744,0.6249690293093515,0.07355746353283742,49,0.4218181818181818,0.28102189781021897,0.058394160583941604,0.09090909090909091,0.5709090909090909,0.28461048440610487,0.19467910893299814,97,0.5909090909090909,0.5282331511839709,0.5209471766848816,0.51183970856102,0.5865209471766849,0.5476900149031296,0.03392557512738409,45,0.5076586433260394,0.3728813559322034,0.10847457627118642,0.15723270440251572,0.5804066543438077,0.3453307868551505,0.1864681117151139,101,anger
brute,14,2,"{'algorithm': 'brute', 'n_neighbors': 14, 'p': 2}",0.632768361581921,0.6086956521739131,0.7096774193548387,0.46774193548387094,0.564,0.5965766737189087,0.07988506245756945,93,0.4072727272727273,0.30656934306569344,0.08029197080291971,0.10545454545454545,0.5127272727272727,0.2824631718646317,0.1681578645913075,101,0.5854545454545454,0.5555555555555556,0.5245901639344263,0.4918032786885246,0.5573770491803278,0.542956118562676,0.03202107636322597,65,0.4955752212389381,0.4077669902912621,0.14426229508196722,0.17210682492581603,0.537142857142857,0.35137083773616806,0.16341126532041028,97,anger
brute,15,1,"{'algorithm': 'brute', 'n_neighbors': 15, 'p': 1}",0.594488188976378,0.5279187817258884,0.8064516129032258,0.5675675675675675,0.5588235294117647,0.6110499361169648,0.09998520842767364,69,0.5490909090909091,0.3795620437956204,0.09124087591240876,0.15272727272727274,0.6909090909090909,0.3727060384870604,0.2280460940624941,61,0.5872727272727273,0.5209471766848816,0.5355191256830601,0.517304189435337,0.5719489981785064,0.5465984434509025,0.028056871089437163,49,0.5708884688090737,0.44161358811040335,0.16393442622950818,0.24068767908309457,0.6178861788617886,0.4070020682187737,0.17847754612003394,73,anger
brute,15,2,"{'algorithm': 'brute', 'n_neighbors': 15, 'p': 2}",0.5859375,0.5561224489795918,0.62,0.5333333333333333,0.5377358490566038,0.5666258262739058,0.03248102512990441,137,0.5454545454545454,0.3978102189781022,0.11313868613138686,0.17454545454545456,0.6218181818181818,0.37055341738553416,0.19957393870023515,65,0.58,0.5409836065573771,0.5227686703096539,0.5100182149362478,0.5428051001821493,0.5393151183970856,0.023674107853720667,73,0.5649717514124294,0.46382978723404256,0.19135802469135804,0.263013698630137,0.5767284991568297,0.4119803522249593,0.15754488842432782,69,anger
brute,16,1,"{'algorithm': 'brute', 'n_neighbors': 16, 'p': 1}",0.6758620689655173,0.5596330275229358,0.8,0.6388888888888888,0.5870646766169154,0.6522897323988515,0.08413457514365044,25,0.3563636363636364,0.22262773722627738,0.058394160583941604,0.08363636363636363,0.4290909090909091,0.23002256138022564,0.145965875849315,113,0.5927272727272728,0.5245901639344263,0.5227686703096539,0.517304189435337,0.5628415300546448,0.5440463652922669,0.02922162559391062,61,0.4666666666666666,0.3185378590078329,0.10884353741496598,0.14790996784565916,0.4957983193277311,0.30755127005257116,0.15864770689652838,109,anger
brute,16,2,"{'algorithm': 'brute', 'n_neighbors': 16, 'p': 2}",0.6308724832214765,0.5242718446601942,0.6153846153846154,0.48936170212765956,0.5771144278606966,0.5674010146509285,0.053620263448158734,133,0.3418181818181818,0.19708029197080293,0.058394160583941604,0.08363636363636363,0.4218181818181818,0.22054943596549434,0.14198981668155639,117,0.5709090909090909,0.5100182149362478,0.51183970856102,0.4972677595628415,0.5555555555555556,0.5291180659049513,0.02871661046690552,129,0.4433962264150943,0.2864721485411141,0.10666666666666666,0.14285714285714285,0.48739495798319327,0.29335742849264224,0.1534362325791088,117,anger
brute,17,1,"{'algorithm': 'brute', 'n_neighbors': 17, 'p': 1}",0.6635071090047393,0.5422535211267606,0.8333333333333334,0.5454545454545454,0.5658914728682171,0.6300879963575192,0.11083719030312991,37,0.509090909090909,0.28102189781021897,0.072992700729927,0.13090909090909092,0.5309090909090909,0.3049847378898474,0.18836029108683258,85,0.6254545454545455,0.5227686703096539,0.5300546448087432,0.5100182149362478,0.5610200364298725,0.5498632223878126,0.041358534160160006,29,0.5761316872427983,0.3701923076923077,0.13422818791946306,0.2111436950146628,0.5478424015009381,0.36790765587403396,0.17602273303471877,89,anger
brute,17,2,"{'algorithm': 'brute', 'n_neighbors': 17, 'p': 2}",0.6146788990825688,0.5467625899280576,0.5666666666666667,0.5194805194805194,0.5458015267175572,0.558678040375074,0.03176206080722749,145,0.48727272727272725,0.2773722627737226,0.06204379562043796,0.14545454545454545,0.52,0.29842866622428665,0.18137155022018325,93,0.5909090909090909,0.5245901639344263,0.5081967213114754,0.5045537340619308,0.5428051001821493,0.5342109620798146,0.031424158464071546,93,0.5436105476673428,0.36803874092009686,0.1118421052631579,0.2272727272727272,0.5325884543761639,0.3566705150998978,0.16894239932685734,93,anger
brute,18,1,"{'algorithm': 'brute', 'n_neighbors': 18, 'p': 1}",0.6902654867256637,0.5063291139240507,0.8,0.5483870967741935,0.5802469135802469,0.625045722200831,0.10662056855201174,45,0.28363636363636363,0.145985401459854,0.029197080291970802,0.06181818181818182,0.3418181818181818,0.17249104180491043,0.12207305454022739,133,0.5781818181818181,0.5027322404371585,0.51183970856102,0.5045537340619308,0.546448087431694,0.5287511177347244,0.029343033230463396,137,0.40206185567010305,0.22662889518413593,0.056338028169014086,0.11111111111111112,0.4302059496567506,0.24526916795822298,0.15021742889096382,133,anger
brute,18,2,"{'algorithm': 'brute', 'n_neighbors': 18, 'p': 2}",0.6825396825396826,0.5633802816901409,0.8461538461538461,0.5208333333333334,0.5769230769230769,0.637966044128016,0.11690878657768493,29,0.31272727272727274,0.145985401459854,0.040145985401459854,0.09090909090909091,0.32727272727272727,0.18340809555408094,0.11653414773641144,125,0.5836363636363636,0.517304189435337,0.517304189435337,0.5027322404371585,0.5428051001821493,0.5327564166252691,0.028526264582350653,97,0.42892768079800503,0.2318840579710145,0.07665505226480836,0.15479876160990713,0.4176334106728538,0.2619797926633178,0.14059760468813629,125,anger
brute,19,1,"{'algorithm': 'brute', 'n_neighbors': 19, 'p': 1}",0.6809815950920245,0.5204081632653061,0.8333333333333334,0.4716981132075472,0.580952380952381,0.6174747171701185,0.12855713197477897,57,0.4036363636363636,0.18613138686131386,0.0364963503649635,0.09090909090909091,0.44363636363636366,0.2321619110816191,0.16400067803489726,109,0.6072727272727273,0.5081967213114754,0.5154826958105647,0.4936247723132969,0.5610200364298725,0.5371193906275874,0.04168736186781931,77,0.5068493150684932,0.27419354838709675,0.06993006993006992,0.1524390243902439,0.5030927835051546,0.3013009482562117,0.17854816869096382,113,anger
