,emoji flag,threshold,coverage,top emotion flag,Baseline Prevalence,0-baseline Accuracy,Random baseline Accuracy,Accuracy,Precision,Recall,F1
disgust,0,0.5555555555555556,0.020689655172413793,1,0.19516092216388686,80.48390778361104,49.21250855968957,79.79913261812372,18.75,1.0526315789473684,1.9933554817275745
joy,0,0.5555555555555556,0.13835434638354346,1,0.26866012325952554,73.13398767404702,50.39945217986761,75.07418397626112,60.19184652278177,21.325403568394222,31.4930991217064
anger-disgust,0,0.5555555555555556,0.05683633873544853,1,0.4147454918968198,58.52545081031728,50.33097466331888,60.51129879023054,67.46987951807229,9.246009906439186,16.263310745401743
anger,0,0.6666666666666666,0.03925536220153784,1,0.3932892033782172,60.67107966217758,49.646199497831546,61.3786806665145,65.97938144329896,3.7144515380150898,7.032967032967034
fear,0,0.6666666666666666,0.040268456375838924,1,0.17804154302670394,82.19584569732937,50.37662634101803,82.56105911892261,56.666666666666664,8.717948717948717,15.111111111111109
sadness,0,0.6666666666666666,0.06998502994011976,1,0.37388724035607657,62.611275964391695,49.2809860762383,64.04930381191508,66.84491978609626,7.631257631257632,13.698630136986303
disgust,0,0.6666666666666666,0.020689655172413793,1,0.19516092216388686,80.48390778361104,49.66902533668112,79.79913261812372,18.75,1.0526315789473684,1.9933554817275745
joy,0,0.6666666666666666,0.13039150630391505,1,0.26866012325952554,73.13398767404702,49.50924446473408,74.75462223236704,59.033078880407125,19.711129991503824,29.554140127388532
anger-disgust,0,0.6666666666666666,0.05501027162748231,1,0.4147454918968198,58.52545081031728,49.41794110933577,60.465647112531386,67.63485477178423,8.970831040176115,15.840621963070946
anger,0,0.7777777777777777,0.03520841764467827,1,0.3932892033782172,60.67107966217758,49.62337365898197,61.28737731111618,65.51724137931035,3.3081834010446896,6.298342541436464
fear,0,0.7777777777777777,0.032550335570469796,1,0.17804154302670394,82.19584569732937,51.198356539602834,82.40127824697558,54.63917525773196,6.794871794871795,12.086659064994299
sadness,0,0.7777777777777777,0.061377245508982034,1,0.37388724035607657,62.611275964391695,50.99292398995663,63.70691622917142,64.63414634146342,6.471306471306471,11.76470588235294
disgust,0,0.7777777777777777,0.01896551724137931,1,0.19516092216388686,80.48390778361104,49.41794110933577,79.89043597352203,20.454545454545453,1.0526315789473684,2.0022246941045605
joy,0,0.7777777777777777,0.09522229595222297,1,0.26866012325952554,73.13398767404702,49.87445788632732,73.84158867838393,55.400696864111495,13.5089209855565,21.721311475409834
anger-disgust,0,0.7777777777777777,0.0390321844327779,1,0.4147454918968198,58.52545081031728,50.03423875827437,59.689568591645745,64.91228070175438,6.1089708310401765,11.167002012072434
anger,0,0.8888888888888888,0.03520841764467827,1,0.3932892033782172,60.67107966217758,50.422278018717186,61.28737731111618,65.51724137931035,3.3081834010446896,6.298342541436464
fear,0,0.8888888888888888,0.032550335570469796,1,0.17804154302670394,82.19584569732937,49.96576124172563,82.40127824697558,54.63917525773196,6.794871794871795,12.086659064994299
sadness,0,0.8888888888888888,0.061377245508982034,1,0.37388724035607657,62.611275964391695,51.380963250399454,63.70691622917142,64.63414634146342,6.471306471306471,11.76470588235294
disgust,0,0.8888888888888888,0.01896551724137931,1,0.19516092216388686,80.48390778361104,50.03423875827437,79.89043597352203,20.454545454545453,1.0526315789473684,2.0022246941045605
joy,0,0.8888888888888888,0.09455872594558726,1,0.26866012325952554,73.13398767404702,49.37228943163661,73.84158867838393,55.43859649122807,13.423959218351742,21.614227086183313
anger-disgust,0,0.8888888888888888,0.03857566765578635,1,0.4147454918968198,58.52545081031728,50.536407212965074,59.64391691394659,64.49704142011835,5.998899284534947,10.976837865055389
anger,0,1.0,0.03520841764467827,1,0.3932892033782172,60.67107966217758,50.12554211367268,61.28737731111618,65.51724137931035,3.3081834010446896,6.298342541436464
fear,0,1.0,0.032550335570469796,1,0.17804154302670394,82.19584569732937,49.2809860762383,82.40127824697558,54.63917525773196,6.794871794871795,12.086659064994299
sadness,0,1.0,0.061377245508982034,1,0.37388724035607657,62.611275964391695,51.15270486190367,63.70691622917142,64.63414634146342,6.471306471306471,11.76470588235294
disgust,0,1.0,0.01896551724137931,1,0.19516092216388686,80.48390778361104,50.69618808491212,79.89043597352203,20.454545454545453,1.0526315789473684,2.0022246941045605
joy,0,1.0,0.09455872594558726,1,0.26866012325952554,73.13398767404702,49.62337365898197,73.84158867838393,55.43859649122807,13.423959218351742,21.614227086183313
anger-disgust,0,1.0,0.03857566765578635,1,0.4147454918968198,58.52545081031728,50.513581374115496,59.64391691394659,64.49704142011835,5.998899284534947,10.976837865055389
anger,1,0.0,1.0,0,0.3932892033782172,60.67107966217758,49.00707601004337,63.61561287377311,60.031104199066874,22.40278583865351,32.62890955198647
fear,1,0.0,1.0,0,0.17804154302670394,82.19584569732937,50.422278018717186,71.92421821501941,30.46875,45.0,36.33540372670807
sadness,1,0.0,1.0,0,0.37388724035607657,62.611275964391695,48.025564939511526,65.57863501483679,57.70142180094787,29.731379731379732,39.242546333601936
disgust,1,0.0,1.0,0,0.19516092216388686,80.48390778361104,49.8972837251769,75.27961652590733,26.829268292682926,15.43859649122807,19.599109131403118
joy,1,0.0,1.0,0,0.26866012325952554,73.13398767404702,50.513581374115496,71.17096553298333,46.3743676222597,46.728971962616825,46.55099449851884
anger-disgust,1,0.0,1.0,0,0.4147454918968198,58.52545081031728,49.21250855968957,61.8808491212052,58.69822485207101,27.297743533296643,37.265214124718256
anger,1,0.1111111111111111,0.2602185350060704,0,0.3932892033782172,60.67107966217758,49.326637753937455,63.61561287377311,60.031104199066874,22.40278583865351,32.62890955198647
fear,1,0.1111111111111111,0.3865771812080537,0,0.17804154302670394,82.19584569732937,50.87879479570874,71.92421821501941,30.46875,45.0,36.33540372670807
sadness,1,0.1111111111111111,0.3158682634730539,0,0.37388724035607657,62.611275964391695,49.80598036977859,65.57863501483679,57.70142180094787,29.731379731379732,39.242546333601936
disgust,1,0.1111111111111111,0.2120689655172414,0,0.19516092216388686,80.48390778361104,50.764665601460855,75.27961652590733,26.829268292682926,15.43859649122807,19.599109131403118
joy,1,0.1111111111111111,0.39349701393497016,0,0.26866012325952554,73.13398767404702,50.422278018717186,71.17096553298333,46.3743676222597,46.728971962616825,46.55099449851884
anger-disgust,1,0.1111111111111111,0.19287833827893175,0,0.4147454918968198,58.52545081031728,49.646199497831546,61.8808491212052,58.69822485207101,27.297743533296643,37.265214124718256
anger,1,0.2222222222222222,0.22136786726021854,0,0.3932892033782172,60.67107966217758,50.353800502168454,64.25473636156129,64.3510054844607,20.429483459082995,31.013215859030836
fear,1,0.2222222222222222,0.3553691275167785,0,0.17804154302670394,82.19584569732937,51.974435060488474,72.67747089705547,30.311614730878187,41.15384615384615,34.91027732463296
sadness,1,0.2222222222222222,0.27956586826347307,0,0.37388724035607657,62.611275964391695,51.129879023054094,65.784067564483,59.30388219544846,27.045177045177045,37.14884696016771
disgust,1,0.2222222222222222,0.17025862068965517,0,0.19516092216388686,80.48390778361104,50.445103857566764,76.9459027619265,30.379746835443036,14.035087719298245,19.199999999999996
joy,1,0.2222222222222222,0.3722627737226277,0,0.26866012325952554,73.13398767404702,49.463592787034926,71.67313398767405,47.14795008912656,44.94477485131691,46.020008699434534
anger-disgust,1,0.2222222222222222,0.19173704633645286,0,0.4147454918968198,58.52545081031728,50.62771056836339,61.90367496005478,58.80952380952381,27.187671986791415,37.184794881445235
anger,1,0.3333333333333333,0.1622824767300688,0,0.3932892033782172,60.67107966217758,50.171193791371834,63.387354485277335,64.83790523690773,15.089959373186304,24.48210922787194
